,Company,Menu
1,McDonald's,Egg and Cheese Muffin
2,McDonald's,Chicken Muffin
3,McDonald's,Sausage McMuffin
4,McDonald's,Egg McMuffin
5,McDonald's,Chicken Muffin with Egg
6,McDonald's,Sausage McMuffin with Egg
7,McDonald's,Sausage Wrap
8,McDonald's,Big Breakfast
9,McDonald's,Breakfast Wrap
10,McDonald's,Hotcakes 3 pcs
11,McDonald's,Hotcakes 2 pcs
12,McDonald's,Hashbrown
13,McDonald's,Nasi Uduk McD
14,McDonald's,Bubur Ayam McD
15,McDonald's,Big Mac®
16,McDonald's,Triple Cheeseburger
17,McDonald's,Double Cheeseburger
18,McDonald's,Cheeseburger Deluxe
19,McDonald's,Cheeseburger with Egg
20,McDonald's,Cheeseburger
21,McDonald's,Beef Burger Deluxe
22,McDonald's,Beef Burger
23,McDonald's,PaNas Spesial Ayam McD Gulai
24,McDonald's,PaNas 1 Ayam McD Gulai
25,McDonald's,PaNas 2 Ayam McD Gulai
26,McDonald's,PaNas 2 with French Fries Ayam McD Gulai
27,McDonald's,PaMer 5 Ayam McD Gulai
28,McDonald's,PaMer 7 Ayam McD Gulai
29,McDonald's,Korean Soy Garlic Wings - A la Carte 6pcs
30,McDonald's,Korean Soy Garlic Wings - A la Carte 4pcs
31,McDonald's,PaNas Wings Korean Soy Garlic
32,McDonald's,PaNas HeBat Korean Soy Garlic Wings
33,McDonald's,Ayam Krispy McDonald's
34,McDonald's,Ayam Spicy McDonald's
35,McDonald's,PaNas 1
36,McDonald's,PaNas 2 with Fries
37,McDonald's,PaNas 2 with Rice
38,McDonald's,PaNas Spesial
39,McDonald's,PaMer 5
40,McDonald's,PaMer 7
41,McDonald's,Honey Garlic Chicken Rice McD
42,McDonald's,Rica-rica Chicken Rice McD
43,McDonald's,Chicken Burger Deluxe
44,McDonald's,Chicken Burger
45,McDonald's,McSpicy™
46,McDonald's,McChicken
47,McDonald's,McNuggets
48,McDonald's,Chicken Snack Wrap
49,McDonald's,Spicy Chicken Bites
50,McDonald's,Chicken Fingers
51,McDonald's,Fish Snack Wrap
52,McDonald's,Fish Fillet Burger
53,McDonald's,Honey Garlic Fish Rice McD
54,McDonald's,Rica-rica Fish Rice McD
55,McDonald's,Iced Coffee Caramel Macchiato Jelly Float
56,McDonald's,Iced Coffee Caramel Macchiato Float
57,McDonald's,Iced Coffee Caramel Macchiato Jelly
58,McDonald's,Iced Coffee Caramel Macchiato
59,McDonald's,Fruit Tea Lemon
60,McDonald's,Coca Cola
61,McDonald's,Sprite
62,McDonald's,Fanta
63,McDonald's,Coca-Cola McFloat
64,McDonald's,Fanta McFloat
65,McDonald's,Hot Coffee
66,McDonald's,Hot Tea
67,McDonald's,Iced Coffee
68,McDonald's,Iced Coffee Float
69,McDonald's,Iced Coffee Jelly
70,McDonald's,Iced Coffee Jelly Float
71,McDonald's,Iced Milo
72,McDonald's,Tehbotol Sosro Tawar
73,McDonald's,Mineral Water Prim-a
74,McDonald's,Tehbotol Sosro
75,McDonald's,Tehbotol Sosro Kotak
76,McDonald's,Fruit Tea Blackcurrant
77,McDonald's,Iced Lychee Tea
78,McDonald's,Double Choco Pie
79,McDonald's,Double Choco Pie A la Mode Chocolate
80,McDonald's,Double Choco Pie A la Mode Strawberry
81,McDonald's,Hershey's McFlurry with Choco Balls
82,McDonald's,Hershey's McFlurry with Choco Crumbs
83,McDonald's,Apple Pie
84,McDonald's,McFlurry feat. Oreo
85,McDonald's,McFlurry Choco
86,McDonald's,Strawberry Sundae
87,McDonald's,Chocolate Sundae
88,McDonald's,Ice Cream Cone
89,McDonald's,Choco Top
90,McDonald's,Happy Meal Egg & Cheese Muffin
91,McDonald's,Happy Meal 4 pcs McNuggets
92,McDonald's,Happy Meal Chicken Burger
93,McDonald's,Happy Meal Ayam McD
94,McDonald's,Happy Meal Beef Burger
95,McDonald's,Family Weekend Breakfast Happy Meal Ayam McD dan Mainan
96,McDonald's,Family Weekend Breakfast Happy Meal Egg & Cheese Muffin dan Mainan
97,McDonald's,Family Weekend Happy Meal Beef Burger dan Mainan
98,McDonald's,Family Weekend Happy Meal Ayam McD dan Mainan
99,McDonald's,Family Time Breakfast Happy Meal Ayam McD
100,McDonald's,Family Time Breakfast Happy Meal Egg & Cheese Muffin
101,McDonald's,Family Time Happy Meal Beef Burger
102,McDonald's,Family Time Happy Meal Ayam McD
103,McDonald's,Iced Strawberry Latte Frappe
104,McDonald's,Hot Strawberry Latte
105,McDonald's,Iced Pink Berry Latte
106,McDonald's,Iced Strawberry Tea
107,McDonald's,Iced Himalayan Tea
108,McDonald's,Himalayan Tea Frappe
109,McDonald's,Iced Himalayan Latte
110,McDonald's,Himalayan Latte Frappe
111,McDonald's,Affogato
112,McDonald's,Hot Matcha Latte
113,McDonald's,Iced Matcha Latte
114,McDonald's,Iced Café Matcha Fushion
115,McDonald's,Matcha Frappe
116,McDonald's,Tasseo Lemon Grass
117,McDonald's,Tasseo Java Jasmine
118,McDonald's,Tasseo Pure Green
119,McDonald's,Espresso
120,McDonald's,Macchiato
121,McDonald's,Long Black Coffee
122,McDonald's,Flat White
123,McDonald's,Caffe Latte
124,McDonald's,Cappuccino
125,McDonald's,Hot Chocolate
126,McDonald's,Hazelnut Latte
127,McDonald's,Mocha Latte
128,McDonald's,Vienna
129,McDonald's,Caramel Latte
130,McDonald's,Vanilla Latte
131,McDonald's,Iced Cafe Latte
132,McDonald's,Iced Cappuccino
133,McDonald's,Iced Chocolate
134,McDonald's,Iced Caramel Latte
135,McDonald's,Iced Vanilla Latte
136,McDonald's,Iced Hazelnut Latte
137,McDonald's,Iced Latte Frappe
138,McDonald's,Mocha Frappe
139,McDonald's,Choco Frappe
140,McDonald's,Hazelnut Frappe
141,McDonald's,Mango Frappe
142,McDonald's,Cheese Stick
143,McDonald's,Butter Croissant
144,McDonald's,Banana Muffin
145,McDonald's,Choco Chip Muffin
146,McDonald's,Cheese Croissant
147,McDonald's,Tuna Puff Pastry
148,McDonald's,Chicken Curry Puff
149,McDonald's,Choco Lover
150,McDonald's,Smoked Beef and Cheese Panini
151,McDonald's,Chicken Blackpepper Focaccia
152,McDonald's,Klepon Cake
153,McDonald's,Lemon Cake
154,McDonald's,McD Share Box with Mentai Sauce & Spicy BBQ Crunchy Star
155,McDonald's,Menu Receh 1+1
156,McDonald's,French Fries
157,McDonald's,Sweet Corn
162,KFC,9 PCS BUCKET
163,KFC,WINGS BUCKET
164,KFC,WINGER COMBO BBQ
179,KFC,FISH FILLET COMBO
180,KFC,COLONEL YAKINIKU COMBO
181,KFC,KOMBO KRISPY
202,KFC,ORIENTAL DON
203,KFC,COLONEL BURGER
204,KFC,TWISTY
219,KFC,YAKINIKU DON
